alias,code,vendor_type,vendor_code
Orlando,USA0FLORL000,meiya_air,ORL
Portland,USA0ORTTD000,meiya_air,PDX
Manchester,USA0NHMHT000,meiya_air,MHT
Buenosaires,ARG000BUE000,meiya_air,BUE
Cairo,EGY000CAI000,meiya_air,CAI
Johannesburg,ZAF000JNB000,meiya_air,JNB
CapeTown,ZAF000CPT000,meiya_air,CPT
Nairobi,KEN0000NA000,meiya_air,NBO
Lagos,NGA000LOS000,meiya_air,LOS
Luanda,AGO000LUA000,meiya_air,LAD
Mauritius,MUS000000000,meiya_air,MRU
Daressalaam,TZA0000DS000,meiya_air,DAR
AddisAbaba,ETH0000AA000,meiya_air,ADD
Khartoum,SDN000KRT000,meiya_air,KRT
Algiers,DZA000ALG000,meiya_air,ALG
Casablanca,MAR000CBL000,meiya_air,CAS
Durban,ZAF000DUR000,meiya_air,DUR
Tunis,TUN000000000,meiya_air,TUN
Abuja,NGA000002000,meiya_air,ABV
Lusaka,ZMB0000LK000,meiya_air,LUN
Harare,ZWE0000HA000,meiya_air,HRE
Yaounde,CMR000001000,meiya_air,YAO
Gaborone,BWA000001000,meiya_air,GBE
Kinshasa,COD000001000,meiya_air,FIH
Niamey,NER000NIM000,meiya_air,NIM
Rabat,MAR000RSA000,meiya_air,RBA
Alexandria,USA0VAAXN000,meiya_air,ALY
Auckland,NZL000AUK000,meiya_air,AKL
Brisbane,AUSQLDBNE000,meiya_air,BNE
Adelaide,AUS0SAADL000,meiya_air,ADL
Perth,AUS0WAPER000,meiya_air,PER
Canberra,AUSACT000000,meiya_air,CBR
Cairns,AUSQLDCNS000,meiya_air,CNS
Christchurch,NZL000CHC000,meiya_air,CHC
Goldcoast,AUSQLDOOL000,meiya_air,OOL
Papeete,PYF000008000,meiya_air,PPT
Hobart,AUSTASHBA000,meiya_air,HBA
Darwin,AUS0NTDRW000,meiya_air,DRW
AliceSprings,AUS000002000,meiya_air,ASP
Dunedin,NZL000DUD000,meiya_air,DUD
Townsville,AUSQLDTSV000,meiya_air,TSV
Trengganu,MYS0TRTGG000,meiya_air,TGG
Novosibirsk,RUS000NVS000,meiya_air,OVB
Almaty,KAZ000ALA000,meiya_air,ALA
Bahrain,BHR000000000,meiya_air,BAH
Nagasaki,JPN000042000,meiya_air,NGS
Okinawa,JPN000047000,meiya_air,OKA
NewDelhi,IND000ICD000,meiya_air,DEL
Hiroshima,JPN000034000,meiya_air,HIJ
Okayama,JPN000033000,meiya_air,OKJ
Warsaw,POL000WAW000,meiya_air,WAW
Karachi,PAK000KCT000,meiya_air,KHI
Kuwait,KWT000000000,meiya_air,KWI
Pyongyang,PRK000FNJ000,meiya_air,FNJ
Telaviv,ISR000TLV000,meiya_air,TLV
Vientiane,LAO0000VI000,meiya_air,VTE
Yangon,MMR0000YG000,meiya_air,RGN
Islamabad,PAK000ISB000,meiya_air,ISB
Toyama,JPN000016000,meiya_air,TOY
Sendai,JPN000050000,meiya_air,SDJ
Fukushima,JPN000007000,meiya_air,FKS
Chiangmai,THA000050000,meiya_air,CNX
Penang,MYS0PHPEN000,meiya_air,PEN
Biagoveschensk,RUS000001000,meiya_air,BQS
Belgrade,SCG000BEG000,meiya_air,BEG
Tashkent,UZB0000TK000,meiya_air,TAS
Bratsk,RUS000002000,meiya_air,BTK
Irkutsk,RUS000IKT000,meiya_air,IKT
Samara,RUS000SAM000,meiya_air,KUF
Bucharest,ROU0000BC000,meiya_air,BUH
Firenze,ITA000FLR000,meiya_air,FLR
Venice,USA0CAVNC000,meiya_air,VCE
Havana,CUB000002000,meiya_air,HAV
Phoenix,USA0AZPHX000,meiya_air,PHX
SanDiego,USA0CASAN000,meiya_air,SAN
SaltLakeCity,USA0UTSLC000,meiya_air,SLC
Cologne,DEU000CGN000,meiya_air,CGN
Marseille,FRA000MRS000,meiya_air,MRS
Lyon,FRA000LIO000,meiya_air,LYS
Rotterdam,NLD000RTM000,meiya_air,RTM
Dacca,BGD000DAC000,meiya_air,DAC
Kyoto,JPN000026000,meiya_air,UKY
Kagoshima,JPN000046000,meiya_air,KOJ
Kwangju,KOR029000000,meiya_air,KWJ
Salzburg,AUT000SZG000,meiya_air,SZG
Yogyakarta,IDN000002000,meiya_air,JOG
Sharjah,ARE0000SH000,meiya_air,SHJ
Anchorage,USA0AKANC000,meiya_air,ANC
Guam,GUM000000000,meiya_air,GUM
Ahmedabad,IND000001000,meiya_air,AMD
Calcutta,IND000CCU000,meiya_air,CCU
Nuremberg,DEU000NUE000,meiya_air,NUE
Stuttgart,DEU000STR000,meiya_air,STR
Abudhabi,ARE0000AZ000,meiya_air,AUH
Riodejaneiro,BRA0000RJ000,meiya_air,RIO
Montevideo,URY0000MO000,meiya_air,MVD
Pittsburgh,USA0PAPIT000,meiya_air,PIT
Valladolid,ESP000001000,meiya_air,VLL
Santiagode,ESP000002000,meiya_air,SCQ
Nice,FRA000NCE000,meiya_air,NCE
