alias,code,vendor_type
Burbank,USAAP0011000,ctrip_air
Billings,USA0MTBGS000,ctrip_air
Albuquerque,USA0NMABQ000,ctrip_air
Hayden,USAAP0012000,ctrip_air
Montrose,USAAP0013000,ctrip_air
Hollywood,USAAP0014000,ctrip_air
Wichita,USAAP0015000,ctrip_air
Tulsa,USA0OKTUL000,ctrip_air
Grand Rapids,USA0MIGRR000,ctrip_air
Rochester,USA0MNRST000,ctrip_air
Sting M Porter Spring,USAAP0016000,ctrip_air
Gunnison,USAAP0017000,ctrip_air
Kahu Lluy,USAAP0018000,ctrip_air
Kona,USAAP0019000,ctrip_air
Albany,USA0NYCVO000,ctrip_air
J Tate Klich,USAAP0020000,ctrip_air
Harrisburg,USAAP0021000,ctrip_air
Richmond,USA0VARIC000,ctrip_air
Winston Salem,USAAP0022000,ctrip_air
St Petersburg,USAAP0023000,ctrip_air
Fort Myers,USAAP0024000,ctrip_air
West Palm Beach,USAAP0025000,ctrip_air
Lauderdale,USAAP0026000,ctrip_air
Hartford,USA0CTHFD000,ctrip_air
Manchester,USA0NHMHT000,ctrip_air
Burlington,USA0VTBTV000,ctrip_air
Providence,USA0RIPVD000,ctrip_air
San Jose,USA0CASJC000,ctrip_air
Sacramento,USAAP0027000,ctrip_air
Shannon,IRL000001000,ctrip_air
Wexford,IRL000002000,ctrip_air
Waterford,IRL0000WF000,ctrip_air
Wiesbaden,DEU000WIB000,ctrip_air
Mammoth Lakes,USAAP0028000,ctrip_air
Sankt Moritz,CHE000001000,ctrip_air
Lars Palmas,ESP000LPA000,ctrip_air
Deportivo Leah,ESP000010000,ctrip_air
Santander,ESP000SDR000,ctrip_air
Patras,GRC000001000,ctrip_air
Chester,GBRENGCEG000,ctrip_air
Liverpool,GBRENGLIV000,ctrip_air
Shaffield,GBRENGSHE000,ctrip_air
enniskillen,GBR000008000,ctrip_air
Aruba,ABW000000000,ctrip_air
Nashville,USA0TNBNA000,ctrip_air
Kitakyushu,JPN000059000,ctrip_air
Knoxville,USAAP0029000,ctrip_air
Little Rock,USA0ARLIT000,ctrip_air
Hans Will,USAAP0030000,ctrip_air
Greenville,USAAP0031000,ctrip_air
charleston,USA0SCCHS000,ctrip_air
Springfield,USA0ILSPI000,ctrip_air
Abuja,NGA000002000,ctrip_air
Yerevan,ARM000EVN000,ctrip_air
South Bend,USAAP0032000,ctrip_air
To melon,COL000003000,ctrip_air
Akita,JPN000005000,ctrip_air
Iguacu Fowles,BRA000003000,ctrip_air
Astana City,KAZ000AST000,ctrip_air
Paramaribo,SUR0000PM000,ctrip_air
Meekatharra,AUS000001000,ctrip_air
Fayetteville,USA0ARFYV000,ctrip_air
Augusta,USA0GAAUT000,ctrip_air
Syracuse,USAAP0033000,ctrip_air
Lubumbashi,COD000003000,ctrip_air
General Santos City,PHL000002000,ctrip_air
Quebec,CAN000QUE000,ctrip_air
Pafos,CYP000005000,ctrip_air
Shreveport,USA0LASHV000,ctrip_air
Khajuraho,IND000005000,ctrip_air
Lvov,UKR000001000,ctrip_air
Dnepropetrovsk,UKR000002000,ctrip_air
Funchal,PRT000FUN000,ctrip_air
Kharkov,UKR000063000,ctrip_air
Krasnodar,RUS000KRR000,ctrip_air
Rostov,RUS000003000,ctrip_air
Sibiu,ROU0000SO000,ctrip_air
Varna,BGR000VAR000,ctrip_air
Blunmin Don Nomar,USAAP0034000,ctrip_air
Traverse City,USAAP0035000,ctrip_air
Cedar Rapids,USA0IACID000,ctrip_air
Joplin,USAAP0036000,ctrip_air
Sudbury,CAN000SUD000,ctrip_air
La Cruz,USAAP0037000,ctrip_air
Karup,DNK000003000,ctrip_air
San Johns,CAN000SJB000,ctrip_air
Jaipur,IND000JAI000,ctrip_air
Lugano,CHE000002000,ctrip_air
Alice springs,AUS000002000,ctrip_air
Lorrnoke,USAAP0038000,ctrip_air
Pensacola,USAAP0039000,ctrip_air
Aarhus,DNK0000AR000,ctrip_air
Asmara,ETH000001000,ctrip_air
Bangor,USA0MEBNQ000,ctrip_air
Heidelberg,DEU000006000,ctrip_air
Dammam,SAU000DAM000,ctrip_air
Champaign,USAAP0040000,ctrip_air
Angola,USAAP0041000,ctrip_air
Montgomerie,USA0ALMGM000,ctrip_air
Thunder Bay,CAN000THU000,ctrip_air
Char Thanou Fagafaga,USA0TNCHA000,ctrip_air
Townsville,AUSQLDTSV000,ctrip_air
Fargo,USA0NDFAR000,ctrip_air
Maseru,LSO00000A000,ctrip_air
Saginaw,USA0MISGM000,ctrip_air
Baton Rouge,USA0LABTR000,ctrip_air
Beaumont,USAAP0042000,ctrip_air
Mike Alan,USAAP0043000,ctrip_air
Ulsan,KOR031000000,ctrip_air
Pohang,KOR043KPO000,ctrip_air
Lafayette,USAAP0044000,ctrip_air
Miri,MYS000007000,ctrip_air
Evans Weil,USA0INEVV000,ctrip_air
Ras Al Khaimah,ARE000001000,ctrip_air
Mar del Plata,ARG000MDQ000,ctrip_air
Trelew,ARG000REL000,ctrip_air
Salta,ARG000SLA000,ctrip_air
Ushuaia,ARG000USH000,ctrip_air
Bloom,AUS000003000,ctrip_air
Busselton,AUS000004000,ctrip_air
Hervey Bay,AUS000005000,ctrip_air
Mackay,AUS000006000,ctrip_air
Ostend,BEL000001000,ctrip_air
Plovdiv,BGR000PDV000,ctrip_air
Maceio,BRA000004000,ctrip_air
Natal,BRA000005000,ctrip_air
Salvatore,SLV000000000,ctrip_air
Whistler,CAN000004000,ctrip_air
Jasper,CAN000005000,ctrip_air
Kamloops,CAN000006000,ctrip_air
Brno,CZE000001000,ctrip_air
Karlovy Vary,CZE0000KA000,ctrip_air
Aachen,DEU000007000,ctrip_air
Cassell,DEU000KAS000,ctrip_air
Mannheim,DEU000MHG000,ctrip_air
Hurghada,EGY000001000,ctrip_air
The Gulf of Sharm El Sheikh,EGY000002000,ctrip_air
The,EGY000003000,ctrip_air
Burgos,ESP000BUR000,ctrip_air
San Sebastian,ESP000011000,ctrip_air
Girona,ESP000GRO000,ctrip_air
Almeria,ESP000LEI000,ctrip_air
Logue Ronnie O,ESP000012000,ctrip_air
Murcia,ESP000MJV000,ctrip_air
Saragossa,ESP000ZAZ000,ctrip_air
Suva,FJI000001000,ctrip_air
Rouen,FRA000URO000,ctrip_air
Coventry,GBRENGCOV000,ctrip_air
Gloster,GBR000009000,ctrip_air
Yorkshire,GBR000010000,ctrip_air
Londonderry,GBR000011000,ctrip_air
Newquay,GBR000012000,ctrip_air
Plymouth,GBRENGPLY000,ctrip_air
Rhode Island,GRC000002000,ctrip_air
Batam Island,IDN000012000,ctrip_air
Kiel Kenny,IRL0000KK000,ctrip_air
Haifa,ISR000HFA000,ctrip_air
Goa,IND000006000,ctrip_air
Jaisalmer,IND000007000,ctrip_air
Pineapple Rice,IND000008000,ctrip_air
Alghero,ITA000002000,ctrip_air
Luca,ITA000003000,ctrip_air
Perugia,ITA000PEG000,ctrip_air
Palermo,ITA000PMO000,ctrip_air
John Ma DragonTown,ITA000004000,ctrip_air
Vicenza,ITA000005000,ctrip_air
Kandy,LKA000KAN000,ctrip_air
Fez,MAR000FES000,ctrip_air
Rabat,MAR000RSA000,ctrip_air
Tangier,MAR000TGR000,ctrip_air
Yintanba,MEX000002000,ctrip_air
Monterey,MEX000MTY000,ctrip_air
Kaman Beach,MEX000003000,ctrip_air
Tromso,NOR000025000,ctrip_air
Mount Cook,NZL000002000,ctrip_air
