code,vendor_type,alias
IDN000011000,standard_air,三宝拢
EGY000ALY000,standard_air,亚历山大
THA000090000,standard_air,宋卡
THA000005000,standard_air,达可
JPN000057000,standard_air,松山
DNK000002000,standard_air,比隆
FRA000003000,standard_air,阿雅克肖
FRA000004000,standard_air,亚维侬
FRA000005000,standard_air,巴斯蒂亚
FRA000006000,standard_air,比亚里茨
FRA000007000,standard_air,克莱蒙费朗
FRA000008000,standard_air,卡尔维
FRA000009000,standard_air,梅兹南希
FRA000010000,standard_air,格勒诺布尔
FRA000011000,standard_air,拉尼永
FRA000012000,standard_air,洛里昂
FRA000013000,standard_air,米卢斯
FRA000014000,standard_air,安奈斯
FRA000015000,standard_air,佩皮尼扬
FRA000016000,standard_air,波城
FRA000017000,standard_air,罗德兹
FRA000018000,standard_air,土伦
GBR000005000,standard_air,因佛内斯
NLD000002000,standard_air,爱因霍温
GBR000006000,standard_air,汉伯塞
GBR000007000,standard_air,利兹
NOR000023000,standard_air,特隆赫姆
NOR000024000,standard_air,桑德菲尧德
RUS000PER000,standard_air,彼尔姆
FRA000019000,standard_air,昂热
FRA000020000,standard_air,布雷斯特
FRA000LIG000,standard_air,利摩日
FRA000021000,standard_air,勒芒
FRA000022000,standard_air,普瓦捷
FRA000023000,standard_air,坎佩尔
ESP000005000,standard_air,维哥
CAN000VIC000,standard_air,维多利亚
PAN000001000,standard_air,奥瓦尔迪亚港
TUR000001000,standard_air,达拉曼
TUR000002000,standard_air,凡城
TUR000003000,standard_air,桑利乌法
TUR000004000,standard_air,马拉提亚
TUR000GAZ000,standard_air,加济安泰普
TUR000005000,standard_air,俄祖汝穆
TUR000DIY000,standard_air,迪亚巴克尔
TUR000KAY000,standard_air,开塞利
TUR000KON000,standard_air,科尼亚
TUR000SAM000,standard_air,萨姆松
TUR000TRA000,standard_air,特拉布宗
TUR000006000,standard_air,博德鲁姆
TUR000DEN000,standard_air,代尼兹利
TUR000007000,standard_air,埃德米特
FRA000024000,standard_air,图尔斯
ESP000006000,standard_air,兰萨罗特
BEL000VAN000,standard_air,安特卫普
ESP000007000,standard_air,伊比萨
RUS000KZN000,standard_air,喀山
FRA000025000,standard_air,勒阿弗尔
ESP000008000,standard_air,梅诺卡
USAAP0010000,standard_air,塔斯卡卢萨
ESP000009000,standard_air,特内里费
VNM000002000,standard_air,顺化
VNM000003000,standard_air,芽庄
PHL000001000,standard_air,卡利博
JPN000045000,standard_air,宫崎
RUS000JSA000,standard_air,南萨哈林斯克
USA0IDBOI000,standard_air,博伊西
RUS000GOJ000,standard_air,下诺夫哥罗德
FIN000JOE000,standard_air,约恩苏
FIN000001000,standard_air,于伐斯居拉
FIN000002000,standard_air,卡尼亚
FIN000003000,standard_air,库萨莫
FIN000KOK000,standard_air,科科拉
FIN000004000,standard_air,基蒂拉
FIN000005000,standard_air,库奥皮欧
FIN000MHQ000,standard_air,玛丽港
FIN000OLU000,standard_air,奥卢
FIN000006000,standard_air,罗凡涅米
FIN000TKU000,standard_air,图尔库
FIN000TMP000,standard_air,坦佩雷
FIN000VAA000,standard_air,瓦萨
NGA000001000,standard_air,索科托
JPN000058000,standard_air,小松
NZL000001000,standard_air,罗托鲁瓦
COL000002000,standard_air,纳雷
SVK000KOR000,standard_air,科希策
ROU0000TI000,standard_air,蒂米什瓦拉
MYS000006000,standard_air,刁曼
ITA000TPS000,standard_air,特拉帕尼
USA0MSJAN000,standard_air,杰克逊
USAAP0011000,standard_air,伯班克
USA0MTBGS000,standard_air,比灵斯
USA0NMABQ000,standard_air,阿尔伯克基
USAAP0012000,standard_air,海登
USAAP0013000,standard_air,蒙特罗斯
