code,description,country,state,city,district,abbreviation
USAAP0075000,,United States of America (USA),,Alice ,,
ZAF000002000,,South Africa,,Alexander Bay ,,
ETH000002000,,Ethiopia,,Asela ,,
ITA000008000,,Italy,,Albenga ,,
USAAP0076000,,United States of America (USA),,Alamogordo ,,
BRA000007000,,Brazil,,Alegrete ,,
NZL000007000,,New Zealand,,Alexandra ,,
USAAP0077000,,United States of America (USA),,Alamosa ,,
BRA000008000,,Brazil,,Alenquer ,,
SOM000001000,,Somalia,,Alula ,,
USAAP0078000,,United States of America (USA),,Walla Walla ,,
USAAP0079000,,United States of America (USA),,Alexander City ,,
USAAP0080000,,United States of America (USA),,Alitak ,,
USAAP0081000,,United States of America (USA),,Amarillo ,,
MDG000001000,,Madagascar,,Ambilobe ,,
GUM000001000,,Guam,,Am Timan ,,
MOZ000001000,,Mozambique,,Alto Molocue ,,
PNG000002000,,Papua New Guinea,,Ama ,,
PNG000003000,,Papua New Guinea,,Amboin ,,
ETH000003000,,Ethiopia,,Arba Mintch ,,
BRA000009000,,Brazil,,Almenara ,,
USAAP0082000,,United States of America (USA),,Alma ,,
MDG000002000,,Madagascar,,Ampanihy ,,
IDN000014000,,Indonesia,,Ambon ,,
AUS000013000,,Australia,,Amata ,,
PNG000004000,,Papua New Guinea,,Amanab ,,
RUS000012000,,Russian Federation,,Amderma ,,
USAAP0083000,,United States of America (USA),,Ames ,,
AUS000014000,,Australia,,Ammaroo ,,
MDG000003000,,Madagascar,,Ambatomainty ,,
NZL000008000,,New Zealand,,Ardmore ,,
USAAP0084000,,United States of America (USA),,Anaheim ,,
USAAP0085000,,United States of America (USA),,Anniston ,,
USAAP0086000,,United States of America (USA),,Anderson ,,
FRA000027000,,France,,Angouleme ,,
USAAP0087000,,United States of America (USA),,Aniak ,,
MDG000004000,,Madagascar,,Antalaha ,,
USAAP0088000,,United States of America (USA),,Annapolis ,,
PER000001000,,Peru,,Andahuaylas ,,
USAAP0089000,,United States of America (USA),,Anvik ,,
USAAP0090000,,United States of America (USA),,Ainsworth ,,
NOR000027000,,Norway,,Andenes ,,
USAAP0091000,,United States of America (USA),,Anthony ,,
AUS000015000,,Australia,,Angus Downs ,,
PNG000005000,,Papua New Guinea,,Aroa ,,
PNG000006000,,Papua New Guinea,,Annanberg ,,
DEU000010000,,Germany,,Altenburg ,,
GRC000003000,,Greece,,Karpathos ,,
PNG000007000,,Papua New Guinea,,Arona ,,
USAAP0092000,,United States of America (USA),,Altoona ,,
USAAP0093000,,United States of America (USA),,Amook ,,
USAAP0094000,,United States of America (USA),,Bowling Green ,,
COL000004000,,Colombia,,Apiay ,,
PYF000001000,,French polynesia,,Apataki ,,
MOZ000002000,,Mozambique,,Nampula ,,
USAAP0095000,,United States of America (USA),,Alpena ,,
COL000005000,,Colombia,,Apartado ,,
PNG000008000,,Papua New Guinea,,Asapa ,,
BRA000010000,,Brazil,,Arapiraca ,,
BRA000011000,,Brazil,,Anapolis ,,
BRA000012000,,Brazil,,Apucarana ,,
USAAP0096000,,United States of America (USA),,Apple Valley ,,
BRA000013000,,Brazil,,Alto Parnaiba ,,
BRA000014000,,Brazil,,Araraquara ,,
SAU000003000,,Saudi Arabia,,Qaisumah ,,
BRA000015000,,Brazil,,Ariquemes ,,
USAAP0097000,,United States of America (USA),,Alyeska ,,
USAAP0098000,,United States of America (USA),,Ann Arbor ,,
USAAP0099000,,United States of America (USA),,Arctic Village ,,
IDN000015000,,Indonesia,,Alor Island ,,
COL000006000,,Colombia,,Acaricuara ,,
CHL000001000,,Chile,,Arica ,,
IDN000016000,,Indonesia,,Arso ,,
COL000007000,,Colombia,,Arboletas ,,
PNG000009000,,Papua New Guinea,,Aragip ,,
COL000008000,,Colombia,,Arauquita ,,
BRA000016000,,Brazil,,Aragarcas ,,
USAAP0100000,,United States of America (USA),,Watertown ,,
BRA000017000,,Brazil,,Aracatuba ,,
USAAP0101000,,United States of America (USA),,Minocqua ,,
USAAP0102000,,United States of America (USA),,Asbury Park ,,
AUS000016000,,Australia,,Ararat ,,
ETH000004000,,Ethiopia,,Assab ,,
BOL000001000,,Bolivia,,Ascension ,,
BHS000002000,,The Bahamas,,Andros Town ,,
NZL000009000,,New Zealand,,Ashburton ,,
JPN000064000,,Japan,,Amami O Shima ,,
ETH000005000,,Ethiopia,,Asosa ,,
USAAP0103000,,United States of America (USA),,Astoria ,,
KEN000001000,,Kenya,,Amboseli ,,
USAAP0104000,,United States of America (USA),,Ashland ,,
USAAP0105000,,United States of America (USA),,Ashley ,,
PNG000010000,,Papua New Guinea,,Asirim ,,
BHS000003000,,The Bahamas,,Arthur'S Town ,,
SLB000001000,,Solomon Islands,,Atoifi ,,
USAAP0106000,,United States of America (USA),,Antlers ,,
ECU000002000,,Ecuado,,Ambato ,,
PAK000001000,,Pakistan,,Attock ,,
MDG000005000,,Madagascar,,Antsirabe ,,
USAAP0107000,,United States of America (USA),,Atqasuk ,,
BRA000018000,,Brazil,,Altamira ,,
PNG000011000,,Papua New Guinea,,Namatanai ,,
USAAP0108000,,United States of America (USA),,Athens ,,
PNG000012000,,Papua New Guinea,,Aitape ,,
IND000013000,,India,,Amritsar ,,
MRT000001000,,Mauritania,,Atar ,,
USAAP0109000,,United States of America (USA),,Artesia ,,
USAAP0110000,,United States of America (USA),,Atmautluak ,,
USAAP0111000,,United States of America (USA),,Attu Island ,,
TCD000001000,,Chad,,Ati ,,
KAZ000002000,,Kazakhstan,,Atbasar ,,
EGY000004000,,Egypt,,Assiut ,,
AUS000017000,,Australia,,Augustus Downs ,,
EGY000005000,,Egypt,,Abu Rudeis ,,
FRA000028000,,France,,Auxerre ,,
PNG000013000,,Papua New Guinea,,Aua Island ,,
PNG000014000,,Papua New Guinea,,Ambunti ,,
USAAP0112000,,United States of America (USA),,Alaknuk ,,
MHL000001000,,Marshall islands,,Aur Island ? ,,
USAAP0113000,,United States of America (USA),,Auburn ,,
PNG000015000,,Papua New Guinea,,Agaun ,,
PYF000002000,,French polynesia,,Atuona ,,
FRA000029000,,France,,Aurillac ,,
IDN000017000,,Indonesia,,Atauro ,,
AUS000018000,,Australia,,Aurukun Mission ,,
PNG000016000,,Papua New Guinea,,Aumo ,,
BRA000019000,,Brazil,,Araguaina ,,
VUT000001000,,Vanuatu,,Aneityum ,,
ITA000009000,,Italy,,Aviano ,,
AUS000019000,,Australia,,Auvergne ,,
USAAP0114000,,United States of America (USA),,Asheville ,,
USAAP0115000,,United States of America (USA),,Avon Park ,,
USAAP0116000,,United States of America (USA),,Wilkes Barre ,,
SLB000002000,,Solomon Islands,,Avu Avu ,,
ETH000006000,,Ethiopia,,Awasa ,,
PNG000017000,,Papua New Guinea,,Awaba ,,
VUT000002000,,Vanuatu,,Aniwa ,,
GAB000002000,,Gabon,,Alowe ,,
ETH000007000,,Ethiopia,,Awareh ,,
AUS000020000,,Australia,,Alton Downs ,,
AUS000021000,,Australia,,Austral Downs ,,
PNG000018000,,Papua New Guinea,,Awar ,,
IRN000005000,,Iran,,Ahwaz ,,
USAAP0117000,,United States of America (USA),,Alexandria Bay ,,
AUS000022000,,Australia,,Aramac ,,
GRC000004000,,Greece,,Alexandroupolis ,,
USAAP0118000,,United States of America (USA),,Algona ,,
COL000009000,,Colombia,,Armenia ,,
BHS000004000,,The Bahamas,,Spring Point ,,
PYF000003000,,French polynesia,,Arutua ,,
ETH000008000,,Ethiopia,,Axum ,,
USAAP0119000,,United States of America (USA),,Angel Fire ,,
COL000010000,,Colombia,,Ayapel ,,
AUS000023000,,Australia,,Alroy Downs ,,
KAZ000003000,,Kazakhstan,,Arkalyk ,,
AUS000024000,,Australia,,Anthony Lagoon ,,
PRY000001000,,Paraguay,,Ayolas ,,
AUS000025000,,Australia,,Ayers Rock ,,
AUS000026000,,Australia,,Ayr ,,
PNG000019000,,Papua New Guinea,,Aiyura ,,
IDN000018000,,Indonesia,,Ayawasi ,,
USAAP0120000,,United States of America (USA),,Amityville ,,
PNG000020000,,Papua New Guinea,,Amazon Bay ,,
IRN000006000,,Iran,,Yazd ,,
MEX000006000,,Mexico,,Apatzingan ,,
AGO000001000,,Angola,,Ambriz ,,
PNG000021000,,Papua New Guinea,,Bialla ,,
FRA000030000,,France,,Barcelonnett ,,
PHL000005000,,The Philippines,,Baguio ,,
PNG000022000,,Papua New Guinea,,Bali ,,
TUR000009000,,Turkey,,Batman ,,
USAAP0121000,,United States of America (USA),,Battle Mountain ,,
COD000004000,,Democratic Republic of the Congo,,Basongo ,,
PNG000023000,,Papua New Guinea,,Baibara ,,
COL000011000,,Colombia,,Barranquilla ,,
SLB000003000,,Solomon Islands,,Balalae ,,
BRA000020000,,Brazil,,Barretos ,,
BRA000021000,,Brazil,,Bauru ,,
GAB000003000,,Gabon,,Biawonque ,,
BRA000022000,,Brazil,,Barbelos ,,
CHL000002000,,Chile,,Balmaceda ,,
USAAP0122000,,United States of America (USA),,Benson ,,
USAAP0123000,,United States of America (USA),,Brady ,,
DEU000011000,,Germany,,Barth ,,
DEU000012000,,Germany,,Bitburg ,,
BWA000002000,,Botswana,,Kasane ,,
IRN000007000,,Iran,,Babolsar ,,
MYS000008000,,Malaysia,,Bario ,,
SOM000002000,,Somalia,,Berbera ,,
GBR000014000,,Great Britain (United Kingdom; England),,Bembridge ,,
ATG000001000,,Antigua & Barbuda,,Barbuda ,,
GBR000015000,,Great Britain (United Kingdom; England),,Blackbush ,,
USAAP0124000,,United States of America (USA),,Broken Bow ,,
CAF000001000,,Central African Republic,,Bambari ,,
USAAP0125000,,United States of America (USA),,Blacksburg ,,
USAAP0126000,,United States of America (USA),,Bear Creek ,,
PHL000006000,,The Philippines,,Bacolod ,,
USAAP0127000,,United States of America (USA),,Bryce ,,
CAF000002000,,Central African Republic,,Bouca ,,
GUY000001000,,Guyana,,Bemichi ,,
IDN000019000,,Indonesia,,Baucau ,,
AUS000027000,,Australia,,Barcaldine ,,
USAAP0128000,,United States of America (USA),,Baca Grande ,,
AUS000028000,,Australia,,Bolwarra ,,
CRI000001000,,Costa Rica,,Barra Colorado ,,
ETH000009000,,Ethiopia,,Jinka ,,
PNG000024000,,Papua New Guinea,,Bambu ,,
LBY000004000,,Libya,,Bratsk ,,
BRA000023000,,Brazil,,Boca Do Acre ,,
USAAP0129000,,United States of America (USA),,Belle Chasse ,,
USAAP0130000,,United States of America (USA),,Boca Raton ,,
NGA000004000,,Nigeria,,Bauchi ,,
MOZ000003000,,Mozambique,,Benguera Island ,,
RUS000013000,,Russian Federation,,Beloreck ,,
ETH000010000,,Ethiopia,,Bulchi ,,
AUS000029000,,Australia,,Bickerton Island ,,
AUS000030000,,Australia,,Bundaberg ,,
BRA000024000,,Brazil,,Barra Do Corda ,,
AUS000031000,,Australia,,Badu Islands ,,
USAAP0131000,,United States of America (USA),,Baudette ,,
