alias,code,vendor_type
拉哈达图,MYS000002000,ctrip_air
山打根,MYS0SBSDK000,ctrip_air
民都鲁,MYS0SRBTU000,ctrip_air
古晋,MYS0SRKCH000,ctrip_air
拉布安,MYS000003000,ctrip_air
宫古,JPN000056000,ctrip_air
斗湖,MYS0SBTAW000,ctrip_air
坤甸,IDN000007000,ctrip_air
泗务,MYS0SRSBW000,ctrip_air
龙目岛,IDN000008000,ctrip_air
哥打京那巴鲁,MYS000004000,ctrip_air
的里雅斯特,ITA000TRS000,ctrip_air
阿伦敦,USA0PAAEW000,ctrip_air
圣塔安那,USAAP0003000,ctrip_air
麦迪逊,USAAP0004000,ctrip_air
基洛纳,CAN000002000,ctrip_air
坦帕,USA0FLTPA000,ctrip_air
斯波坎,USA0WAGEG000,ctrip_air
多哈,QAT0000DW000,ctrip_air
莱克星顿,USAAP0005000,ctrip_air
弗雷德里克顿,CAN000003000,ctrip_air
波由特,USAAP0006000,ctrip_air
甲米,THA000081000,ctrip_air
罗利,USA0NCRAG000,ctrip_air
基尔,DEU000KEL000,ctrip_air
卡托维茨,POL000001000,ctrip_air
德雷斯顿,DEU000001000,ctrip_air
腓特烈斯港,DEU000002000,ctrip_air
蒙斯特,DEU000003000,ctrip_air
奥格斯堡,DEU000AGB000,ctrip_air
帕特泊恩,DEU000004000,ctrip_air
萨格勒布,HRV000001000,ctrip_air
卡塔尼亚,ITA000CTA000,ctrip_air
诺福克,NFK000000000,ctrip_air
科罗拉多斯普林,USAAP0007000,ctrip_air
奥马哈,USA0NEOMA000,ctrip_air
哥伦比亚,USA0SCCOV000,ctrip_air
里米尼,ITA000001000,ctrip_air
安科纳,ITA000AOI000,ctrip_air
巴里,ITA000BRI000,ctrip_air
卡利亚里,ITA000CAG000,ctrip_air
热那亚,ITA000CAX000,ctrip_air
温尼伯,CAN000WNP000,ctrip_air
奥克兰,USA0CAOAK000,ctrip_air
得梅因,USA0IADSM000,ctrip_air
莫林,USAAP0008000,ctrip_air
俄克拉何马城,USAAP0009000,ctrip_air
奥尔堡,DNK000001000,ctrip_air
萨斯卡通,CAN000SAK000,ctrip_air
霍巴特,AUSTASHBA000,ctrip_air
弗罗茨瓦夫,POL000WRO000,ctrip_air
波恩,DEU000005000,ctrip_air
因斯布鲁克,AUT000003000,ctrip_air
达沃,PHL000DOR000,ctrip_air
夏洛特,USA0NCCRQ000,ctrip_air
巴尔的摩,USA0MDBAL000,ctrip_air
格但斯克,POL000GDN000,ctrip_air
里尔,FRA000LLE000,ctrip_air
波兹南,POL000POZ000,ctrip_air
诺维奇,GBR000003000,ctrip_air
巨港,IDN000009000,ctrip_air
梭罗,IDN000010000,ctrip_air
特鲁希略,VEN00000T000,ctrip_air
